ASIN Product_ID Product_Group Sales_Rank Estimated_Number_of_Sales Purchase_Price Buy_Box_Landed Low_New_Fba_Price Low_New_Mfn_Price Sell_Price Fulfillment_Subtotal Cost_Sub_Total Inbound_Shipping_Estimate Package_Weight Package_Height Package_Length Package_Width Package_Quantity Total_Offers New_FBA_Num_Offers New_MFN_Num_Offers Min Mult UM CA BWOT Class 
B00GRS9MO4 96069601555 Home_Garden 8876751 5 18 22.54 26.64 22.54 22.54 10.32 13.7 0.48 1.2 1.5 20.7 18.2 1 3 1 2 2 1 EA ME SSD No 
B00HUBTTR2 96069135524 Kitchen 2118066 5 5 14.99 10 14.99 14.99 4.95 7.2 0.44 1.09 4.1 5.6 5 1 1 0 1 4 4 EA ME SSD No 
B00IEK3ZFK 96069135678 Home 76675 1 5.5 15.99 11 15.99 15.99 3.34 5.74 0.13 0.33 1.5 10.6 5.1 1 1 0 1 3 1 EA ME SSD No 
B00IEK4CV6 96069136323 Office_Product 2236068 5 19 42.99 38 42.99 42.99 10.28 16.73 0.48 1.2 1.2 21.7 16.3 1 1 0 1 2 1 EA ME SSD No 
B00IEKRQKU 96069182719 Home_Garden 2655911 5 11 21.4 21.4 21 21.4 4.95 8.16 0.35 0.88 3.5 7.1 4.9 1 2 1 1 2 1 EA GG SON No 
B00IFH7QL6 96069571193 Home_Garden 89207 90 2.25 22.56 25.63 4.5 25.63 4.95 8.79 0.32 0.8 2.6 7.1 7 1 1 2 0 12 6 EA GG SON Yes 
B00IFKEZV2 96069142522 Home 76675 1 16 36.99 32 36.99 36.99 4.92 10.47 0.43 1.08 0.4 12.4 11.3 6 1 0 1 2 2 EA ME SSD No 
B00IGNF7PQ 96069197027 Home 76675 1 12.5 30.99 25 30.99 30.99 5.57 10.22 0.9 2.25 2.5 14.7 10 6 1 0 1 2 2 EA ME SSD No 
B00IGNF7XI 96069012757 Home_Garden 2942324 5 3.75 3.66 3.66 7.5 3.66 2.5 3.05 0.02 0.05 0.5 3 2 6 1 1 0 4 1 EA GG SON No 
B00IGNF86E 96069012764 Home 76675 1 4.75 13.99 9.5 13.99 13.99 3.37 5.47 0.1 0.24 3.2 7.5 6.2 6 1 0 1 4 1 EA GG SON No 
B00IICRT4W 96069195672 Home 76675 1 12.5 11.51 11.51 11.51 11.51 4.91 6.64 0.42 1.05 0.3 11.9 6.9 6 2 1 1 2 2 EA ME SSD No 
B00IICRYS8 96069195689 Home 76675 1 12.5 30.99 25 30.99 30.99 4.92 9.57 0.36 0.9 1.3 7.4 5 6 1 0 1 2 2 EA ME SSD No 
B00IICRZ3C 96069195665 Home 76675 1 8.5 22.99 17 22.99 22.99 4.93 8.38 0.32 0.8 1.6 8 5.6 6 1 0 1 2 2 EA ME SSD No 
B00OV2BRZ0 96069458807 Lawn_and_Garden 192881 5 5 10 10 10 10 5.47 5.47 0.07 0.18 0.1 18.1 13 1 0 0 0 3 1 EA EF SSF No 
B00QQKBNT0 96069478713 Lawn_and_Garden 230059 5 10 12.68 12.68 12.67 12.68 3.51 5.41 0.18 0.45 1 11 6.7 1 3 2 1 2 1 EA EF SSF No 
B00SX5BEKO 96069182276 Home_Garden 1846024 5 10.5 8.15 21 8.15 8.15 4.95 6.17 0.36 0.9 3.5 7.2 5 1 1 0 1 2 1 EA GG SON No 
B00SX5BGDO 96069182283 Home_Garden 5905528 5 10.5 24.99 21 24.99 24.99 4.95 8.7 0.36 0.9 3.5 7.2 4.9 1 1 0 1 2 1 EA GG SON No 
B00SX5BIG4 96069174967 Home_Garden 4233373 5 11 19.15 19.15 23.02 19.15 4.95 7.82 0.36 0.9 3.5 7.2 5 1 7 1 6 2 1 EA GG SON No 
B00TFZZXEE 96069479116 Lawn_and_Garden 230059 5 10 15.99 20 15.99 15.99 3.53 5.93 0.18 0.45 1.4 12.25 6.8 1 3 0 3 2 1 EA EF SSF No 
B00U8OVYAS 96069129592 Lawn_and_Garden 26109 60 2.5 6.69 8.12 19.96 8.12 3.59 4.81 0.16 0.4 1.8 13 12 1 4 4 1 8 4 EA GG SON Yes 
B00UM9NLNC 96069607380 Home_Garden 10278340 5 3.5 10.99 7 10.98 10.99 4.95 6.6 0.4 1 5 5 5 1 3 0 3 12 12 EA EF SSF No 
B00UY3EXMY 96069602675 Lawn_and_Garden 647291 5 37 74 74 78.48 78.48 10.37 22.14 1.7 4.25 3.2 24.3 9.7 1 1 0 1 1 1 EA ME SSD No 
B00UY3EYGE 96069602682 Lawn_and_Garden 220112 5 37 76.59 76.59 76.59 76.59 10.37 21.86 1.78 4.45 3.2 24.5 9.5 1 5 3 2 1 1 EA GG SON No 
B00UY3EZL8 96069602699 Lawn_and_Garden 217320 5 37 91.53 85.99 91.53 91.53 10.36 24.09 1.82 4.55 3.2 24.2 9.5 1 2 1 1 1 1 EA GG SON No 
B00UY3FFFS 96069629122 Lawn_and_Garden 312780 5 22 48.98 48.99 48.97 48.98 5.53 12.88 0.68 1.7 2.6 14.61 7.09 1 4 1 3 1 1 EA GG SON No 
B00V2X87E0 96069304708 Fashion 21738677 5 23 50.99 46 50.99 50.99 3.95 12.62 0.22 0.55 3.1 11 10.5 6 1 0 1 2 2 EA ME SSD No 
B00V2X8F9C 96069306160 Apparel 76675 1 8 20.49 16 20.49 20.49 3.98 7.46 0.3 0.75 4.2 11.8 8.6 6 2 0 2 2 2 EA ME SSD No 
B00V2X8HDQ 96069306177 Apparel 76675 1 8 20.99 16 20.99 20.99 5.44 9.01 0.36 0.9 1.9 11 10.3 6 1 0 1 2 2 EA ME SSD No 
B00V3YV1CS 96069101468 Lawn_and_Garden 18484 90 10.5 16.15 26.98 39.99 26.98 5.87 9.92 1.28 3.2 1.7 10.3 9.6 1 2 2 1 2 1 EA GG SON Yes 
B016OYZTQA 96069182054 Home_Garden 4460915 5 10.5 18.99 21 18.99 18.99 4.95 7.8 0.36 0.9 3.6 7.2 4.9 1 5 0 5 2 1 EA GG SON No 
B016OYZYQU 96069184263 Home_Garden 6293106 5 10.5 22.99 22.99 21 22.99 4.95 8.4 0.32 0.8 3.4 7.1 4.8 1 1 1 0 2 1 EA GG SON No 
B016OYZYU6 96069182337 Home_Garden 4660836 5 10.5 30.99 21 30.99 30.99 4.95 9.6 0.34 0.85 3.5 7.2 5.1 1 1 0 1 2 1 EA GG SON No 
B016OZ04MS 96069185697 Home_Garden 5894026 5 11 26.99 22 26.99 26.99 4.95 9 0.38 0.95 3.4 7.4 4.9 1 1 0 1 2 1 EA GG SON No 
B016OZ0IX8 96069182382 Home_Garden 1078226 5 10.5 18.52 18.52 21 18.52 4.95 7.73 0.36 0.9 3.5 7.1 4.9 1 1 1 0 2 1 EA GG SON No 
B016OZ0JM8 96069184171 Home_Garden 8408327 5 14.5 31.99 31.99 29 31.99 4.99 9.79 0.48 1.2 3.6 9.2 7.1 1 1 1 0 2 1 EA GG SON No 
B016OZ0YB4 96069185598 Home_Garden 2068698 5 10.5 26.99 21 26.98 26.99 4.95 9 0.36 0.9 3.5 7.2 4.9 1 4 0 4 2 1 EA GG SON No 
B016OZ0YKA 96069185819 Home_Garden 3185913 5 10.5 21 21 21 21 5.47 5.47 0.36 0.9 3.5 7.2 5 1 0 0 0 2 1 EA GG SON No 
B016OZ0Z2C 96069182047 Home_Garden 5867761 5 10.5 14.22 14.22 13.95 14.22 4.95 7.08 0.36 0.9 3.4 7.1 5 1 2 1 1 2 1 EA GG SON No 
B016OZ18NC 96069184478 Home_Garden 9423320 5 10.5 26.99 21 26.98 26.99 4.96 9.01 0.36 0.9 3.7 7.2 5.2 1 3 0 3 2 1 EA GG SON No 
B016OZ18UU 96069185642 Home_Garden 2247235 5 11 21 21 22 21 4.95 8.1 0.38 0.95 3.4 7.2 4.9 1 1 1 0 2 1 EA GG SON No 
B016OZ1DN2 96069185581 Home_Garden 10060540 5 14 25.9 25.9 40.68 25.9 5 8.89 0.56 1.4 3.5 9.21 7.4 1 2 1 1 2 1 EA GG SON No 
B016OZ1J3Q 96069182092 Home_Garden 3110946 5 10.5 15.99 21 15.99 15.99 4.95 7.35 0.36 0.9 3.4 7.1 4.9 1 4 0 4 2 1 EA GG SON No 
B016OZ1PFI 96069185628 Home_Garden 3966946 5 11 17.29 17.29 22 17.29 4.95 7.54 0.34 0.85 3.5 7.2 4.9 1 1 1 0 2 1 EA GG SON No 
B016OZ1TSG 96069185185 Home_Garden 1091238 5 10.5 14.99 14.99 21.8 14.99 3.53 5.78 0.3 0.75 3.5 7.2 4.9 1 2 1 1 2 1 EA GG SON No 
B016OZ1TTK 96069500193 Home 76675 1 18 34.3 34.3 36 34.3 10.36 15.51 1.2 3 2.91 19.02 13.31 1 1 1 0 2 1 EA ME SSD No 
B016OZ1Z80 96069185246 Home 76675 1 11 26.99 22 26.99 26.99 4.95 9 0.34 0.85 3.3 7.2 4.9 1 2 0 2 2 1 EA GG SON No 
B016OZ2MQO 96069185758 Home_Garden 2429296 5 10.5 22.99 22.99 21 22.99 4.95 8.4 0.34 0.85 3.5 7.2 4.9 1 1 1 0 2 1 EA GG SON No 
