ASIN,Product_ID,Product_Group,Sales_Rank,Estimated_Number_of_Sales,Purchase_Price,Buy_Box_Landed,Low_New_Fba_Price,Low_New_Mfn_Price,Sell_Price,Fulfillment_Subtotal,Cost_Sub_Total,Inbound_Shipping_Estimate,Package_Weight,Package_Height,Package_Length,Package_Width,Package_Quantity,Total_Offers,New_FBA_Num_Offers,New_MFN_Num_Offers,Min,Mult,UM,CA,BWOT,Class
B07THHC5ZY,96069660248,Kitchen,472452,5,4.25,8.5,8.5,8.5,8.5,5.47,5.47,0.35,0.87,0.71,8.58,7.13,1,0,0,0,4,4,EA,SE,SON,No        
B07THHC9TK,96069660644,Kitchen,1030500,5,5.5,11.7,11.7,11,11.7,4.94,6.7,0.46,1.14,3.5,5.2,5.08,6,3,3,0,4,4,EA,SE,SON,No        
B07THHK7PY,96069660705,Kitchen,76675,1,5.5,12.92,12.92,15.95,12.92,4.94,6.88,0.42,1.04,3.58,5.31,5.16,6,2,1,1,4,4,EA,SE,SON,No        
B07THHM9BL,96069660736,Kitchen,76675,1,5.5,14.75,14.75,11,14.75,4.94,7.15,0.44,1.09,3.54,5.12,5.12,6,1,1,0,4,4,EA,SE,SON,No        
B07THJDDX2,96069661894,Kitchen,76675,1,5.25,17.88,17.88,10.5,17.88,5.42,8.1,0.8,2,2,2,2,6,1,1,0,1,1,EA,SE,SON,No        
B07THJFZXL,96069661245,Kitchen,76675,1,10,23.52,23.52,20,23.52,5.92,9.45,1.31,3.28,6.65,6.69,6.65,6,1,1,0,2,1,EA,SE,SON,No        
B07THJL3K8,96069661207,Kitchen,1591334,5,10,20,20,20,20,5.47,5.47,1.3,3.25,6.61,6.81,6.77,1,0,0,0,2,1,EA,SE,SON,No        
B07THJM7K4,96069661191,Kitchen,1523681,5,10,23.52,23.52,20,23.52,5.92,9.45,1.33,3.32,6.65,6.77,6.69,6,1,1,0,2,1,EA,SE,SON,No        
B07THJMS69,96069662617,Kitchen,76675,1,5,13.13,13.68,13.13,13.13,5.03,7,0.31,0.78,4.65,10.43,6.93,6,2,1,1,4,4,EA,SE,SON,No        
B07THJTBFH,96069662198,Kitchen,1076537,5,5.25,10.5,10.5,10.5,10.5,5.47,5.47,0.8,2,0.2,4,4,1,0,0,0,9,1,EA,SE,SON,No        
B07THQBS5N,96069661184,Home,76675,1,7.5,16.34,16.34,15,16.34,5.45,7.9,0.8,2,2,6,6,6,1,1,0,3,3,EA,SE,SON,No        
B07THQLFG9,96069661146,Home Garden,6639614,5,7.5,16.67,16.67,15,16.67,5,7.5,0.38,0.96,2.95,10.55,8.39,6,1,1,0,3,3,EA,SE,SON,No        
B07THR1XJW,96069660521,Kitchen,1269020,5,5,10,10,10,10,5.47,5.47,0.8,2,3.5,3.75,3.75,1,0,0,0,4,4,EA,SE,SON,No        
B07THR3X2L,96069660675,Kitchen,76675,1,5.5,15.67,15.67,11,15.67,5.54,7.89,0.44,1.09,4.41,9.8,7.17,6,1,1,0,4,4,EA,SE,SON,No        
B07THR843X,96069699606,Home Garden,2040335,5,9.5,22.58,22.58,19,22.58,4.91,8.3,0.7,1.75,0.1,15,13.5,6,1,1,0,4,4,EA,SE,SON,No        
B07THRK9P1,96069661153,Home Garden,6860685,5,7.5,15.2,15.2,16.67,15.2,4.97,7.25,0.36,0.89,2.2,10.43,7.95,6,2,1,1,3,3,EA,SE,SON,No        
B07THRN8Q2,96069660194,Kitchen,1258075,5,4.25,14.11,14.11,8.5,14.11,4.92,7.04,0.38,0.95,0.63,8.62,7.13,6,1,1,0,4,4,EA,SE,SON,No        
